ID,Year_split,Year_5,Artist,Title,Style2,Cat2,NatRegion,Ave. art rating,Sentiment,colorh,colorl,colors,Colorfulness,Image URL,color1,quant1,color2,quant2,color3,quant3,color4,quant4,color5,quant5
58c6237dedc2c9c7dc0de1ae,1889,1890,Charles Courtney Curran,In the Luxembourg Garden,Modern Art,Impressionism,Americas,2.33,1.939,22.222222222222207,47.368421052631575,11.176470588235292,7.5374067158406675,https://uploads3.wikiart.org/00123/images/charles-courtney-curran/in-the-luxembourg-garden-1889.jpg,#0f0e0c,83242,#6d7512,49733.0,#1a2012,34995.0,#d6c097,19817.0,#283112,17296.0
58c6237dedc2c9c7dc0de198,1887,1885,Charles Courtney Curran,A Breezy Day,Modern Art,Impressionism,Americas,2.0,1.4549999999999998,76.00000000000007,11.450381679389315,74.31372549019608,4.080441152620633,https://uploads0.wikiart.org/00123/images/charles-courtney-curran/a-breezy-day-1887.jpg,#6c662a,121414,#e4e5d7,62330.0,#c1c3b8,43708.0,#525329,37437.0,#989665,19780.0
58c6237dedc2c9c7dc0de1b0,1887,1885,Charles Courtney Curran,Fair Critics,Modern Art,Impressionism,Americas,0.7,1.1,18.94736842105263,57.57575757575758,6.470588235294117,5.41040663906143,https://uploads0.wikiart.org/00123/images/charles-courtney-curran/fair-critics-1887.jpg,#150d0a,94941,#371b17,41736.0,#806f53,24107.0,#4b352a,22576.0,#562d17,10499.0
58c6237dedc2c9c7dc0de19a,1888,1890,Charles Courtney Curran,Lotus Lilies,Modern Art,Impressionism,Americas,2.45,2.5469999999999997,32.3076923076923,21.31147540983607,47.84313725490196,13.99428454762872,https://uploads0.wikiart.org/00123/images/charles-courtney-curran/lotus-lilies-1888.jpg,#ddd6c3,32558,#373600,22803.0,#747702,18897.0,#0d0906,17678.0,#555300,15787.0
577280dfedc2cb3880f28e76,1984,1985,Keith Haring,The Marriage of Heaven and Hell,Modern Art,Neo-Expressionism,Americas,0.7,-0.4,25.71428571428585,8.235294117647065,83.33333333333333,1.9209372712298545,https://uploads1.wikiart.org/images/keith-haring/the-marriage-of-heaven-and-hell-1984.jpg,#fcfcfc,79193,#040000,32059.0,#ded9d5,24378.0,#3d3834,15506.0,#7f7a76,14126.0
577280deedc2cb3880f28d56,1990,1990,Keith Haring,Fight Aids Worldwide,Modern Art,Neo-Expressionism,Americas,0.8,0.10000000000000007,0.0,0.0,100.0,0.0,https://uploads8.wikiart.org/images/keith-haring/fight-aids-worldwide-1990.jpg,#ffffff,40662,#000000,17960.0,#fe0000,6510.0,#999997,2274.0,#2c2c2a,2105.0
57727f2dedc2cb3880ed5fa9,1906,1905,Jozsef Rippl-Ronai,Uncle Piacsek in front of the Black Sideboard,Modern Art,Post-Impressionism,Europe,1.6,1.6,39.20792079207922,57.06214689265536,65.29411764705883,27.16159973197455,https://uploads3.wikiart.org/images/j-zsef-rippl-r-nai/uncle-piacsek-in-front-of-the-black-sideboard-1906.jpg,#f3ca72,48041,#7d4a46,46168.0,#242430,29099.0,#a4a7ca,27259.0,#7a79a3,23362.0
57727f2dedc2cb3880ed5f69,1895,1895,Jozsef Rippl-Ronai,A Park at Night,Modern Art,Post-Impressionism,Europe,0.36,0.09099999999999996,218.82352941176467,85.00000000000001,7.84313725490196,9.13892772703669,https://uploads3.wikiart.org/images/j-zsef-rippl-r-nai/a-park-at-night-1895(1).jpg,#123a42,123937,#010c22,113203.0,#1d5457,2159.0,#0b2637,1562.0,#2b6678,186.0
57727f2dedc2cb3880ed5f79,1907,1905,Jozsef Rippl-Ronai,Manor-House at K&#246;rtv&#233;lyes,Modern Art,Post-Impressionism,Europe,1.57,1.284,18.347107438016526,62.051282051282044,38.23529411764706,34.5937855690874,https://uploads1.wikiart.org/images/j-zsef-rippl-r-nai/manor-house-at-k-rtv-lyes-1907.jpg,#464530,46099,#896849,37084.0,#475e42,30420.0,#607749,22103.0,#c9a35c,15827.0
57727f2dedc2cb3880ed5fb9,1910,1910,Jozsef Rippl-Ronai,Parisian Interior,Modern Art,Post-Impressionism,Europe,0.7,1.4,30.00000000000001,8.264462809917356,52.54901960784314,5.408326913195984,https://uploads2.wikiart.org/images/j-zsef-rippl-r-nai/parisian-interior-1910.jpg,#591d1d,28750,#7e2527,24907.0,#aca181,19968.0,#bc272d,18556.0,#846954,18438.0
58d1240cedc2c94f900fc610,1920,1920,Vadym Meller,Monk. For the Play &#39;Mazeppa&#39;,Modern Art,Cubism,Europe,0.82,-0.273,38.947368421052644,34.54545454545455,32.35294117647059,15.323511346946562,https://uploads2.wikiart.org/00124/images/vadym-meller/monk-for-the-play-mazeppa-1920.jpg,#eeb365,71897,#ded2a0,25490.0,#6b5b42,19892.0,#eac57e,12318.0,#877c60,10686.0
58d1240cedc2c94f900fc616,1919,1920,Vadym Meller,Mask. For the Ballet Studio of B.Nizhinskaya,Modern Art,Cubism,Europe,0.8,-0.2,14.659090909090915,77.87610619469027,44.31372549019608,51.68300010641797,https://uploads2.wikiart.org/00124/images/vadym-meller/mask-for-the-ballet-studio-of-b-nizhinskaya-1919.jpg,#dd9944,95282,#c94419,14203.0,#edb75d,9879.0,#514f36,8822.0,#ebab7d,5174.0
