ID,Year_split,Year_5,Artist,Title,Style2,Cat2,NatRegion,Ave. art rating,Sentiment,Colorfulness,Image URL,color1,color2,prop1,prop2
58c6237dedc2c9c7dc0de1ae,1889,1890,Charles Courtney Curran,In the Luxembourg Garden,Modern Art,Impressionism,Americas,2.33,1.939,7.5374067158406675,https://uploads3.wikiart.org/00123/images/charles-courtney-curran/in-the-luxembourg-garden-1889.jpg,#6a6d52,#7b7435,0.3585,0.2831
58c6237dedc2c9c7dc0de198,1887,1885,Charles Courtney Curran,A Breezy Day,Modern Art,Impressionism,Americas,2.0,1.4549999999999998,4.080441152620633,https://uploads0.wikiart.org/00123/images/charles-courtney-curran/a-breezy-day-1887.jpg,#6a6d52,#7b7435,0.4004,0.3746
58c6237dedc2c9c7dc0de1b0,1887,1885,Charles Courtney Curran,Fair Critics,Modern Art,Impressionism,Americas,0.7,1.1,5.41040663906143,https://uploads0.wikiart.org/00123/images/charles-courtney-curran/fair-critics-1887.jpg,#56443a,#815e3a,0.624,0.1632
58c6237dedc2c9c7dc0de19a,1888,1890,Charles Courtney Curran,Lotus Lilies,Modern Art,Impressionism,Americas,2.45,2.547,13.99428454762872,https://uploads0.wikiart.org/00123/images/charles-courtney-curran/lotus-lilies-1888.jpg,#7b7435,#6a6d52,0.4128,0.3498
577280dfedc2cb3880f28e76,1984,1985,Keith Haring,The Marriage of Heaven and Hell,Modern Art,Neo-Expressionism,Americas,0.7,-0.4,1.9209372712298545,https://uploads1.wikiart.org/images/keith-haring/the-marriage-of-heaven-and-hell-1984.jpg,#94918c,,1.0,
577280deedc2cb3880f28d56,1990,1990,Keith Haring,Fight Aids Worldwide,Modern Art,Neo-Expressionism,Americas,0.8,0.1,0.0,https://uploads8.wikiart.org/images/keith-haring/fight-aids-worldwide-1990.jpg,#94918c,#b94626,0.8385,0.1105
57727f2dedc2cb3880ed5fa9,1906,1905,Jozsef Rippl-Ronai,Uncle Piacsek in front of the Black Sideboard,Modern Art,Post-Impressionism,Europe,1.6,1.6,27.16159973197455,https://uploads3.wikiart.org/images/j-zsef-rippl-r-nai/uncle-piacsek-in-front-of-the-black-sideboard-1906.jpg,#6b594e,#697274,0.3303,0.16
57727f2dedc2cb3880ed5f69,1895,1895,Jozsef Rippl-Ronai,A Park at Night,Modern Art,Post-Impressionism,Europe,0.36,0.0909999999999999,9.13892772703669,https://uploads3.wikiart.org/images/j-zsef-rippl-r-nai/a-park-at-night-1895(1).jpg,#697274,#57628d,0.6876,0.3122
57727f2dedc2cb3880ed5f79,1907,1905,Jozsef Rippl-Ronai,Manor-House at K&#246;rtv&#233;lyes,Modern Art,Post-Impressionism,Europe,1.57,1.284,34.5937855690874,https://uploads1.wikiart.org/images/j-zsef-rippl-r-nai/manor-house-at-k-rtv-lyes-1907.jpg,#6c7855,#977851,0.4111,0.307
57727f2dedc2cb3880ed5fb9,1910,1910,Jozsef Rippl-Ronai,Parisian Interior,Modern Art,Post-Impressionism,Europe,0.7,1.4,5.408326913195984,https://uploads2.wikiart.org/images/j-zsef-rippl-r-nai/parisian-interior-1910.jpg,#a35030,#6b594e,0.3271,0.297
58d1240cedc2c94f900fc610,1920,1920,Vadym Meller,Monk. For the Play &#39;Mazeppa&#39;,Modern Art,Cubism,Europe,0.82,-0.273,15.323511346946562,https://uploads2.wikiart.org/00124/images/vadym-meller/monk-for-the-play-mazeppa-1920.jpg,#91895e,#cb9b47,0.4400595681310499,0.29659965251923553
58d1240cedc2c94f900fc616,1919,1920,Vadym Meller,Mask. For the Ballet Studio of B.Nizhinskaya,Modern Art,Cubism,Europe,0.8,-0.2,51.68300010641797,https://uploads2.wikiart.org/00124/images/vadym-meller/mask-for-the-ballet-studio-of-b-nizhinskaya-1919.jpg,#cb9b47,#91895e,0.6275,0.1435
58d1240cedc2c94f900fc602,1923,1925,Vadym Meller,A Sketch of a Man&#39;s Costume for the Play by E. Sinclair &#39;Jimmie Higgins&#39;,Modern Art,Cubism,Europe,0.82,0.273,8.586763068817026,https://uploads1.wikiart.org/00124/images/vadym-meller/a-sketch-of-a-man-s-costume-for-the-play-by-e-sinclair-jimmie-higgins-1923.jpg,#795e52,#93573c,0.2576,0.1804
57727de7edc2cb3880e91f26,1828,1830,David Wilkie,The Defence of Sarago&#231;a,Post Renaissance Art,Romanticism,Europe,1.69,-0.4630000000000001,3.132091952673165,https://uploads6.wikiart.org/images/david-wilkie/the-defence-of-sarago-a.jpg,#2f3033,#7e6f4f,0.3298,0.2581
