NatRegion,Cat2,Year_5,color1,color2,prop1,prop2
Americas,Impressionism,1890,#6a6247,#563f26,0.18985,0.1894
Americas,Impressionism,1885,#563f26,#6a6247,0.23882,0.1672
Americas,Impressionism,1880,#291f14,#a8b2af,0.3107,0.16436666666666666
Americas,Impressionism,1840,#a8b2af,#d9d7d1,0.2299,0.2292
Americas,Impressionism,1875,#9e6333,#563f26,0.27715,0.24495
Americas,Neo-Expressionism,1985,#907f6d,#201c1c,0.20696842105263158,0.16952105263157896
Americas,Neo-Expressionism,1990,#e9e7df,#907f6d,0.24640833333333334,0.191625
Americas,Neo-Expressionism,1965,#3c5055,#b8b6ac,0.3458888888888889,0.1666888888888889
Americas,Neo-Expressionism,1975,#3c5055,#b8b6ac,0.27445454545454545,0.1360090909090909
Americas,Neo-Expressionism,1960,#201c1c,#b8b6ac,0.23094375,0.18189375
Americas,Neo-Expressionism,1970,#b8b6ac,#907f6d,0.2864,0.20945
Americas,Neo-Expressionism,1980,#201c1c,#907f6d,0.2041529411764706,0.16928823529411766
Americas,Neo-Expressionism,1995,#3c5055,#e9e7df,0.25302,0.2219
Americas,Neo-Expressionism,1955,#8b3e26,#3c5055,0.26835,0.14313333333333333
Americas,Neo-Expressionism,2000,#b8b6ac,#201c1c,0.21858571428571427,0.21295714285714284
Americas,Neo-Expressionism,1950,#8b3e26,#201c1c,0.4921,0.33335
Americas,Expressionism,1910,#382d2c,#615a51,0.18565,0.18448333333333333
Americas,Expressionism,1905,#86857e,#615a51,0.2613,0.2172
Americas,Expressionism,1915,#d8d4d9,#c0b4a8,0.3409,0.2883
Americas,Cubism,1915,#747267,#454849,0.19353846153846155,0.1911923076923077
Americas,Cubism,1925,#ece8e4,#cbc0b1,0.22066,0.2033
Americas,Cubism,1920,#cbc0b1,#251f1c,0.4219,0.2099
Americas,Cubism,1910,#747267,#9b9b94,0.2552,0.2305
Americas,Minimalism,1970,#ebe8e5,#cbc8c5,0.1776111111111111,0.16608148148148147
Americas,Minimalism,1965,#ebe8e5,#cbc8c5,0.28125,0.16664310344827588
Americas,Minimalism,1960,#ebe8e5,#181514,0.2581842105263158,0.16126315789473683
Americas,Minimalism,1955,#ebe8e5,#ae5821,0.38533333333333336,0.3185
Americas,Color Field Painting,1970,#c13521,#695f54,0.15875882352941176,0.15700882352941176
Americas,Color Field Painting,1975,#ece9e1,#cdb9a4,0.22418888888888888,0.1815277777777778
Americas,Color Field Painting,1965,#ece9e1,#c13521,0.2161179487179487,0.12884102564102565
Americas,Color Field Painting,1960,#ece9e1,#22262d,0.24861290322580645,0.24664193548387098
Americas,Color Field Painting,1950,#c13521,#ece9e1,0.23163333333333333,0.1994
Americas,Color Field Painting,1945,#695f54,#c13521,0.42945,0.3343
Americas,Color Field Painting,1955,#c13521,#ca735a,0.26824444444444445,0.21993333333333334
Americas,Color Field Painting,1980,#c13521,#22262d,0.273325,0.2732
Americas,Pop Art,1970,#eae7e0,#95857c,0.2008047619047619,0.19092857142857142
Americas,Pop Art,1960,#eae7e0,#262422,0.23421176470588234,0.23341764705882354
Americas,Pop Art,1965,#c6bdb3,#eae7e0,0.1921344827586207,0.18211724137931035
Americas,Pop Art,1950,#262422,#645048,0.3424,0.13795
Americas,Pop Art,1955,#c83428,#eae7e0,0.4064,0.1541
Americas,Abstract Expressionism,1950,#48423f,#c8bdac,0.17205925925925927,0.16626296296296297
Americas,Abstract Expressionism,1955,#9d9185,#6e6a64,0.18696046511627906,0.16621860465116278
Americas,Abstract Expressionism,1945,#48423f,#6e6a64,0.18809565217391305,0.17176521739130435
Americas,Abstract Expressionism,1960,#c8bdac,#9d9185,0.1777108108108108,0.16555945945945946
Americas,Abstract Expressionism,1940,#48423f,#e9e5dd,0.22617142857142858,0.2219142857142857
Americas,Surrealism,1935,#b9b6b0,#88888d,0.17395,0.17246666666666666
Americas,Surrealism,1925,#121111,#88888d,0.6456,0.0915
Americas,Surrealism,1940,#483d38,#666361,0.29254444444444444,0.1842111111111111
Americas,Surrealism,1930,#b9b6b0,#483d38,0.21254285714285714,0.167
Americas,Surrealism,1920,#d2aa6c,#483d38,0.28465,0.24365
Americas,Magic Realism,2005,#373e3f,#bda85a,0.246,0.1929
Americas,Magic Realism,2000,#161413,#373e3f,0.26376666666666665,0.2388
Americas,Magic Realism,1990,#161413,#2f6196,0.40127,0.1234
Americas,Magic Realism,1980,#373e3f,#161413,0.2816,0.27715
Americas,Magic Realism,1995,#161413,#373e3f,0.40472,0.17714
Americas,Magic Realism,1970,#bda85a,#373e3f,0.37125,0.2787
Americas,Magic Realism,1985,#6e6b5a,#373e3f,0.2473,0.19656666666666667
Americas,Magic Realism,1975,#373e3f,#161413,0.27738,0.18056
Americas,Magic Realism,1940,#6e6b5a,#373e3f,0.3448333333333333,0.229
Americas,Magic Realism,1935,#373e3f,#161413,0.27135,0.22865
Americas,Magic Realism,1945,#373e3f,#6e6b5a,0.301475,0.24755
Americas,Magic Realism,1950,#373e3f,#6e6b5a,0.34972,0.1862
Americas,Magic Realism,1965,#8d9ea7,#161413,0.2416,0.20863333333333334
Americas,Magic Realism,1955,#373e3f,#161413,0.25605,0.185875
Americas,Magic Realism,1930,#373e3f,#161413,0.3684,0.3067
Americas,Abstract Art,1915,#c9bfad,#9b3e2c,0.2096,0.20631666666666668
Americas,Abstract Art,1930,#e4e0d8,#c9bfad,0.387,0.16293333333333335
Americas,Abstract Art,1920,#25211f,#c9bfad,0.18878333333333333,0.14838333333333334
Americas,Abstract Art,1925,#c9bfad,#4b4d4b,0.189225,0.1687
Americas,Abstract Art,1940,#787973,#25211f,0.17425454545454547,0.16562727272727273
Americas,Abstract Art,1935,#e4e0d8,#a79b91,0.24017142857142856,0.17572857142857143
Americas,Abstract Art,1910,#787973,#4b4d4b,0.3054,0.2338
Americas,Abstract Art,1945,#4b4d4b,#a79b91,0.18196666666666667,0.1801
Americas,Abstract Art,1950,#a79b91,#c9bfad,0.261675,0.204825
Americas,Abstract Art,1955,#a79b91,#c5914a,0.3583,0.2379
Americas,Rococo,1790,#5e4d3a,#3f3126,0.20045,0.1865
Americas,Rococo,1785,#1e1916,#3f3126,0.4579,0.20315
Americas,Rococo,1780,#3f3126,#1e1916,0.28736666666666666,0.25316666666666665
Americas,Rococo,1770,#b4a78f,#d4c4a5,0.17452,0.15488
Americas,Rococo,1775,#d4c4a5,#b4a78f,0.3861,0.1756
Americas,Rococo,1765,#3f3126,#1e1916,0.3285,0.2524
Americas,Lyrical Abstraction,1985,#336080,#2e3633,0.21772,0.17836
Americas,Lyrical Abstraction,1975,#916f69,#ca7427,0.22608333333333333,0.1659
Americas,Lyrical Abstraction,1980,#ece6db,#d8b461,0.28396666666666665,0.1716888888888889
Americas,Lyrical Abstraction,1970,#916f69,#b3ada8,0.23265714285714287,0.22532857142857143
Americas,Lyrical Abstraction,1995,#b3ada8,#336080,0.3839,0.1673
