NatRegion,Cat2,Year_5,color1,color2,prop1,prop2
Americas,Impressionism,1890,#70663e,#5b4b34,0.1846316382589097,0.144147062966615
Americas,Impressionism,1885,#5b4b34,#453020,0.18860740791253253,0.17343471194608295
Americas,Impressionism,1880,#aca998,#d0cec5,0.21048464391382257,0.17327165895736968
Americas,Impressionism,1840,#8a7f67,#aca998,0.188689505165851,0.18134855899945623
Americas,Impressionism,1875,#95462a,#453020,0.21370644773728475,0.17395875050060072
Americas,Neo-Expressionism,1985,#1d181c,,1.0,
Americas,Neo-Expressionism,1990,#1d181c,,1.0,
Americas,Neo-Expressionism,1965,#1d181c,,1.0,
Americas,Neo-Expressionism,1975,#1d181c,,1.0,
Americas,Neo-Expressionism,1960,#1d181c,,1.0,
Americas,Neo-Expressionism,1970,#1d181c,,1.0,
Americas,Neo-Expressionism,1980,#1d181c,,1.0,
Americas,Neo-Expressionism,1995,#1d181c,,1.0,
Americas,Neo-Expressionism,1955,#1d181c,,1.0,
Americas,Neo-Expressionism,2000,#1d181c,,1.0,
Americas,Neo-Expressionism,1950,#1d181c,,1.0,
Americas,Expressionism,1910,#302b2c,,1.0,
Americas,Expressionism,1905,#302b2c,,1.0,
Americas,Expressionism,1915,#302b2c,,1.0,
Americas,Cubism,1915,#5a513c,#716e6a,0.15320710603476362,0.1398401717100094
Americas,Cubism,1925,#404b66,#b6aea2,0.17970776642490338,0.17512838159775532
Americas,Cubism,1920,#1b181a,#b6aea2,0.23095301300769844,0.2002477656844527
Americas,Cubism,1910,#716e6a,#949082,0.22056196199447783,0.1794705213578041
Americas,Minimalism,1970,#161315,,1.0,
Americas,Minimalism,1965,#161315,,1.0,
Americas,Minimalism,1960,#161315,,1.0,
Americas,Minimalism,1955,#161315,,1.0,
Americas,Color Field Painting,1970,#1b1622,,1.0,
Americas,Color Field Painting,1975,#1b1622,,1.0,
Americas,Color Field Painting,1965,#1b1622,,1.0,
Americas,Color Field Painting,1960,#1b1622,,1.0,
Americas,Color Field Painting,1950,#1b1622,,1.0,
Americas,Color Field Painting,1945,#1b1622,,1.0,
Americas,Color Field Painting,1955,#1b1622,,1.0,
Americas,Color Field Painting,1980,#1b1622,,1.0,
Americas,Pop Art,1970,#1e171f,,1.0,
Americas,Pop Art,1960,#1e171f,,1.0,
Americas,Pop Art,1965,#1e171f,,1.0,
