ID,Year_split,Year_5,Artist,Title,Style2,Cat2,NatRegion,Ave. art rating,Sentiment,Colorfulness,Image URL,color1,color2,prop1,prop2
58c6237dedc2c9c7dc0de1ae,1889,1890,Charles Courtney Curran,In the Luxembourg Garden,Modern Art,Impressionism,Americas,2.33,1.939,7.537406716,https://uploads3.wikiart.org/00123/images/charles-courtney-curran/in-the-luxembourg-garden-1889.jpg,#291f14,#563f26,0.454539557,0.179594937
58c6237dedc2c9c7dc0de198,1887,1885,Charles Courtney Curran,A Breezy Day,Modern Art,Impressionism,Americas,2,1.455,4.080441153,https://uploads0.wikiart.org/00123/images/charles-courtney-curran/a-breezy-day-1887.jpg,#6a6247,#563f26,0.324090038,0.212219029
58c6237dedc2c9c7dc0de1b0,1887,1885,Charles Courtney Curran,Fair Critics,Modern Art,Impressionism,Americas,0.7,1.1,5.410406639,https://uploads0.wikiart.org/00123/images/charles-courtney-curran/fair-critics-1887.jpg,#291f14,#563f26,0.583065116,0.193546944
58c6237dedc2c9c7dc0de19a,1888,1890,Charles Courtney Curran,Lotus Lilies,Modern Art,Impressionism,Americas,2.45,2.547,13.99428455,https://uploads0.wikiart.org/00123/images/charles-courtney-curran/lotus-lilies-1888.jpg,#291f14,#563f26,0.251175562,0.226252107
577280dfedc2cb3880f28e76,1984,1985,Keith Haring,The Marriage of Heaven and Hell,Modern Art,Neo-Expressionism,Americas,0.7,-0.4,1.920937271,https://uploads1.wikiart.org/images/keith-haring/the-marriage-of-heaven-and-hell-1984.jpg,#e9e7df,#201c1c,0.511491228,0.223031798
577280deedc2cb3880f28d56,1990,1990,Keith Haring,Fight Aids Worldwide,Modern Art,Neo-Expressionism,Americas,0.8,0.1,0,https://uploads8.wikiart.org/images/keith-haring/fight-aids-worldwide-1990.jpg,#e9e7df,#201c1c,0.567925234,0.264696262
57727f2dedc2cb3880ed5fa9,1906,1905,Jozsef Rippl-Ronai,Uncle Piacsek in front of the Black Sideboard,Modern Art,Post-Impressionism,Europe,1.6,1.6,27.16159973,https://uploads3.wikiart.org/images/j-zsef-rippl-r-nai/uncle-piacsek-in-front-of-the-black-sideboard-1906.jpg,#d0b988,#835935,0.234940568,0.169657356
57727f2dedc2cb3880ed5f69,1895,1895,Jozsef Rippl-Ronai,A Park at Night,Modern Art,Post-Impressionism,Europe,0.36,0.091,9.138927727,https://uploads3.wikiart.org/images/j-zsef-rippl-r-nai/a-park-at-night-1895(1).jpg,#251f1b,#49463a,0.808656036,0.188858977
57727f2dedc2cb3880ed5f79,1907,1905,Jozsef Rippl-Ronai,Manor-House at K&#246;rtv&#233;lyes,Modern Art,Post-Impressionism,Europe,1.57,1.284,34.59378557,https://uploads1.wikiart.org/images/j-zsef-rippl-r-nai/manor-house-at-k-rtv-lyes-1907.jpg,#49463a,#835935,0.270908879,0.23352155
57727f2dedc2cb3880ed5fb9,1910,1910,Jozsef Rippl-Ronai,Parisian Interior,Modern Art,Post-Impressionism,Europe,0.7,1.4,5.408326913,https://uploads2.wikiart.org/images/j-zsef-rippl-r-nai/parisian-interior-1910.jpg,#835935,#ad8953,0.355935183,0.19590377
